* Measurement data measured by REW V5.19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 65536-point spectrum using Rectangular window and 30 averages 
* Dated: Jan 12, 2019 11:00:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 65536-point spectrum using Rectangular window and 30 averages Input RMS 18.3 dB, 18.2 dBC, 8.6 dBA
* Measurement: Jan 12 11:00:58
* Smoothing: None
* Frequency Step: 0.7324219 Hz
* Start Frequency: 0.7324219 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
629.883, -22.896, 0
630.615, -25.077, 0
631.348, -22.260, 0
632.080, -24.473, 0
632.812, -23.911, 0
633.545, -25.883, 0
634.277, -25.557, 0
635.010, -25.644, 0
635.742, -25.082, 0
636.475, -23.929, 0
637.207, -23.026, 0
637.939, -23.200, 0
638.672, -24.715, 0
639.404, -25.394, 0
640.137, -25.058, 0
640.869, -27.003, 0
641.602, -25.202, 0
642.334, -28.694, 0
643.066, -25.475, 0
643.799, -25.334, 0
644.531, -25.533, 0
645.264, -24.340, 0
645.996, -28.422, 0
646.729, -25.067, 0
647.461, -24.766, 0
648.193, -25.628, 0
648.926, -24.466, 0
649.658, -25.486, 0
650.391, -24.695, 0
651.123, -22.588, 0
651.855, -23.780, 0
652.588, -20.907, 0
653.320, -22.344, 0
654.053, -21.338, 0
654.785, -20.138, 0
655.518, -21.717, 0
656.250, -22.383, 0
656.982, -22.837, 0
657.715, -23.682, 0
658.447, -25.567, 0
659.180, -26.183, 0
659.912, -25.801, 0
660.645, -26.062, 0
661.377, -23.693, 0
662.109, -24.217, 0
662.842, -23.287, 0
663.574, -25.228, 0
664.307, -22.835, 0
665.039, -23.800, 0
665.771, -24.381, 0
666.504, -23.571, 0
667.236, -25.365, 0
667.969, -21.975, 0
668.701, -24.334, 0
669.434, -24.182, 0
670.166, -25.626, 0
670.898, -25.581, 0
671.631, -24.249, 0
672.363, -23.901, 0
673.096, -23.996, 0
673.828, -25.360, 0
674.561, -25.027, 0
675.293, -26.867, 0
676.025, -25.830, 0
676.758, -26.385, 0
677.490, -26.242, 0
678.223, -28.698, 0
678.955, -26.493, 0
679.688, -25.930, 0
680.420, -29.068, 0
681.152, -26.058, 0
681.885, -27.979, 0
682.617, -27.562, 0
683.350, -25.251, 0
684.082, -25.711, 0
684.814, -26.589, 0
685.547, -26.742, 0
686.279, -26.374, 0
687.012, -26.325, 0
687.744, -26.304, 0
688.477, -25.416, 0
689.209, -27.566, 0
689.941, -26.392, 0
690.674, -25.705, 0
691.406, -26.987, 0
692.139, -24.878, 0
692.871, -24.819, 0
693.604, -24.509, 0
694.336, -23.611, 0
695.068, -25.983, 0
695.801, -25.211, 0
696.533, -26.545, 0
697.266, -25.071, 0
697.998, -25.046, 0
698.730, -24.146, 0
699.463, -25.779, 0
700.195, -25.891, 0
700.928, -23.932, 0
701.660, -25.909, 0
702.393, -25.438, 0
703.125, -25.745, 0
703.857, -26.726, 0
704.590, -25.669, 0
705.322, -25.675, 0
706.055, -25.085, 0
706.787, -25.750, 0
707.520, -26.916, 0
708.252, -24.261, 0
708.984, -24.169, 0
709.717, -26.596, 0
710.449, -24.808, 0
711.182, -24.303, 0
711.914, -23.113, 0
712.646, -23.570, 0
713.379, -23.940, 0
714.111, -23.527, 0
714.844, -25.351, 0
715.576, -25.713, 0
716.309, -25.326, 0
717.041, -26.670, 0
717.773, -26.703, 0
718.506, -26.503, 0
719.238, -25.659, 0
719.971, -26.328, 0
720.703, -27.129, 0
721.436, -23.663, 0
722.168, -26.369, 0
722.900, -25.075, 0
723.633, -26.910, 0
724.365, -26.567, 0
725.098, -26.845, 0
725.830, -26.694, 0
726.562, -25.767, 0
727.295, -26.743, 0
728.027, -25.946, 0
728.760, -25.116, 0
729.492, -25.148, 0
730.225, -26.248, 0
730.957, -25.283, 0
731.689, -25.448, 0
732.422, -24.609, 0
733.154, -25.623, 0
733.887, -24.042, 0
734.619, -25.216, 0
735.352, -25.465, 0
736.084, -25.778, 0
